video capture start
画像サイズ幅 : 1920.000000[pixel]
画像サイズ高さ : 1080.000000[pixel]
FPS : 59.416667[frame/s]
総フレーム数 : 288.000000[frame]
動画時間 : 4.847125[s]
frame : 1.000000, ms : 16.830295, ratio : 0.000011
frame : 2.000000, ms : 33.660589, ratio : 0.000011
frame : 3.000000, ms : 50.490884, ratio : 0.000011
frame : 4.000000, ms : 67.321178, ratio : 0.000011
frame : 5.000000, ms : 84.151473, ratio : 0.000011
frame : 6.000000, ms : 100.981767, ratio : 0.000011
frame : 7.000000, ms : 117.812062, ratio : 0.000011
frame : 8.000000, ms : 134.642356, ratio : 0.000011
frame : 9.000000, ms : 151.472651, ratio : 0.000011
frame : 10.000000, ms : 168.302945, ratio : 0.000011
frame : 11.000000, ms : 185.133240, ratio : 0.000011
frame : 12.000000, ms : 201.963534, ratio : 0.000011
frame : 13.000000, ms : 218.793829, ratio : 0.000011
frame : 14.000000, ms : 235.624123, ratio : 0.000011
frame : 15.000000, ms : 252.454418, ratio : 0.000011
frame : 16.000000, ms : 269.284712, ratio : 0.000011
frame : 17.000000, ms : 286.115007, ratio : 0.000011
frame : 18.000000, ms : 302.945302, ratio : 0.000011
frame : 19.000000, ms : 319.775596, ratio : 0.000011
frame : 20.000000, ms : 336.605891, ratio : 0.000011
frame : 21.000000, ms : 353.436185, ratio : 0.000011
frame : 22.000000, ms : 370.266480, ratio : 0.000011
frame : 23.000000, ms : 387.096774, ratio : 0.000011
frame : 24.000000, ms : 403.927069, ratio : 0.000011
frame : 25.000000, ms : 420.757363, ratio : 0.000011
frame : 26.000000, ms : 437.587658, ratio : 0.000011
frame : 27.000000, ms : 454.417952, ratio : 0.000011
frame : 28.000000, ms : 471.248247, ratio : 0.000011
frame : 29.000000, ms : 488.078541, ratio : 0.000011
frame : 30.000000, ms : 504.908836, ratio : 0.000011
frame : 31.000000, ms : 521.739130, ratio : 0.000011
frame : 32.000000, ms : 538.569425, ratio : 0.000011
frame : 33.000000, ms : 555.399719, ratio : 0.000011
frame : 34.000000, ms : 572.230014, ratio : 0.000011
frame : 35.000000, ms : 589.060309, ratio : 0.000011
frame : 36.000000, ms : 605.890603, ratio : 0.000011
frame : 37.000000, ms : 622.720898, ratio : 0.000011
frame : 38.000000, ms : 639.551192, ratio : 0.000011
frame : 39.000000, ms : 656.381487, ratio : 0.000011
frame : 40.000000, ms : 673.211781, ratio : 0.000011
frame : 41.000000, ms : 690.042076, ratio : 0.000011
frame : 42.000000, ms : 706.872370, ratio : 0.000011
frame : 43.000000, ms : 723.702665, ratio : 0.000011
frame : 44.000000, ms : 740.532959, ratio : 0.000011
frame : 45.000000, ms : 757.363254, ratio : 0.000011
frame : 46.000000, ms : 774.193548, ratio : 0.000011
frame : 47.000000, ms : 791.023843, ratio : 0.000011
frame : 48.000000, ms : 807.854137, ratio : 0.000011
frame : 49.000000, ms : 824.684432, ratio : 0.000011
